company,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Adobe Inc.,31.211904789682542,30.124881035714285,32.670079988000005,46.80341260317461,67.4530556031746,80.96781749603174,97.32503951587302,143.99613580079682,235.03745000796812,279.3228181309524,415.97126558498024,560.6136518174603,396.35987941599996,
Alphabet Inc.,13.403981357142856,14.238592765873015,16.08649848,22.128196686507934,28.406118365079365,30.999410825396826,38.16066074206349,46.988653410358566,56.10217920318725,59.560847134920635,73.94965607905138,124.22488697619048,114.866492004,
"Amazon.com, Inc.",6.957019841269842,9.833601190476191,11.015182000000001,14.901579400793652,16.627551603174602,23.906914666666665,34.97615664285714,48.40835056175299,82.08630851792829,89.45946026190475,134.0427545256917,167.19334932142857,126.2672141,
Apple Inc.,7.910512896825397,11.081564031746032,17.579520199999997,14.713780726190476,20.592401515873014,27.249667567460317,24.23795003968254,35.542360752988046,45.31216885258964,50.7023598015873,93.91639356521739,139.8008471547619,154.47972604400002,
"Cisco Systems, Inc.",16.349147051587302,12.300109515873016,13.38619514,16.758551158730157,18.51906707142857,21.900977047619048,23.41276501984127,27.894929482071714,38.43528229880478,45.204785253968254,39.738125913043476,50.74988335714286,47.488919644,
Intel Corporation,14.176367825396825,15.555627603174603,18.194940524,17.481257682539685,23.84465572222222,26.01070731746032,27.832655575396824,32.51449284063745,43.277234900398405,46.48002755952381,50.79081373517787,53.04428616269841,37.761775056,
International Business Machines Corporation,81.7980765595238,107.92213055952381,126.158574652,126.79985462301588,121.68165548412699,106.5996321984127,107.23910332142857,116.30431451792829,110.51195029880478,110.40913065873015,105.11702454150198,120.07263168253968,130.5930826,
"Meta Platforms, Inc.",,,24.673096703225806,35.48115073809524,68.76234109126985,88.77285733730159,117.03587302380953,156.57617535856573,171.5109556932271,181.6374995952381,234.55086983399207,321.1662304166667,180.187689749004,133.89466746666668
Microsoft Corporation,20.90269846031746,20.607842686507936,24.233774271999998,27.226804726190476,36.60544032142857,41.35168232936508,50.26234471031746,67.12403889641435,96.02207201195219,125.93545640873015,188.71679055731227,272.3930508452381,267.653306736,
NVIDIA Corporation,3.11190851984127,3.874644369047619,3.10124616,3.314016884920635,4.416716341269841,5.747837841269841,13.213228456349206,37.013222505976096,57.57500729482072,43.4173679047619,98.66730170750988,194.9760576031746,185.7344792,
"Netflix, Inc.",16.824172293650793,27.493718773809526,11.855057136,35.27183092063492,57.49511906349206,91.89567448809524,102.03035719841269,165.37426305976095,319.2903190079681,328.8723800674603,446.8272328695652,558.2176972936508,284.598280568,
Oracle Corporation,21.364791873015875,26.512068932539684,25.405325175999998,29.02873333333333,35.00905985714286,36.04562336111111,35.20585021031746,42.41604649003984,44.48448906772908,50.709795960317464,52.96478833992095,79.42090286904762,74.96242366,
"Salesforce, Inc.",24.212152765873018,32.93339287698413,35.727660012,45.94423617857143,57.253611166666666,70.65543634523809,74.55396832142857,90.25948192031872,132.20964146215138,155.10480128968254,200.8652966758893,247.36531697222222,176.842839724,
"Tesla, Inc.",1.5558397829457364,1.7869841309523808,2.07790664,6.960082,14.888605805555557,15.336193071428573,13.984484146825396,20.954419609561754,21.15399466932271,18.235346575396825,96.6656887944664,259.99816171031745,263.652733276,
