company,VaR_95
Adobe Inc.,-0.037329687788909105
Alphabet Inc.,-0.031585239422707745
"Amazon.com, Inc.",-0.03591110394089836
Apple Inc.,-0.03243711936012794
"Cisco Systems, Inc.",-0.027456384185336247
Intel Corporation,-0.0338938269192296
International Business Machines Corporation,-0.02584991252197788
"Meta Platforms, Inc.",-0.040631609973692084
Microsoft Corporation,-0.0301142595593219
NVIDIA Corporation,-0.05222953012376319
"Netflix, Inc.",-0.044618480490889456
Oracle Corporation,-0.026265944259956875
"Salesforce, Inc.",-0.038524374018109486
"Tesla, Inc.",-0.0641650588179653
